id,fna,gna,nam,cui,cue,anx,ges,nen_mde,tip,dep,dir,bar,com,sag,geometry
323,Establecimiento educativo TOMAS GUIDO,Establecimiento Educativo,TOMAS GUIDO,200228.0,201698.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,San Jose 1985,Constitucion,1,Mapa Escolar - Ministerio de Educación,POINT (27125.43747213408 69684.26756214701)
324,Establecimiento educativo JUAN DE GARAY,Establecimiento Educativo,JUAN DE GARAY,200229.0,200772.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Caseros Av. 734,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (28106.396893027537 70226.20174628936)
325,Establecimiento educativo JUAN DE GARAY,Establecimiento Educativo,JUAN DE GARAY,200229.0,201282.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,Caseros Av. 734,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (28106.396893027537 70226.20174628936)
326,Establecimiento educativo JIN A DE 5 (ESC. PRIM. Nº 07 DE 05),Establecimiento Educativo,JIN A DE 5 (ESC. PRIM. Nº 07 DE 05),200229.0,201596.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Caseros Av. 734,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (28106.396893027537 70226.20174628936)
327,Establecimiento educativo CARLOS N. VERGARA,Establecimiento Educativo,CARLOS N. VERGARA,200230.0,200297.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,"Alcorta, Amancio Av. 1934",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26851.840762344356 68837.70312094962)
328,Establecimiento educativo JIC Nº 03 DE 05,Establecimiento Educativo,JIC Nº 03 DE 05,200231.0,200076.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Comunes (JIC),Dirección de Educación Inicial,Luzuriaga 1571,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26964.633385818055 67338.86341183167)
329,Establecimiento educativo JOSE PEDRO VARELA,Establecimiento Educativo,JOSE PEDRO VARELA,200231.0,200474.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Luzuriaga 1571,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26964.633385818055 67338.86341183167)
330,Establecimiento educativo DEAN DIEGO ESTANISLADO DE ZAVALETA,Establecimiento Educativo,DEAN DIEGO ESTANISLADO DE ZAVALETA,200232.0,201839.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Iguazu 1110,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (25379.54139227043 67683.50252658875)
331,Establecimiento educativo CENS Nº 75 DE 05,Establecimiento Educativo,CENS Nº 75 DE 05,200232.0,202356.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,Iguazu 1110,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (25379.54139227043 67683.50252658875)
332,Establecimiento educativo REPUBLICA DE HAITI,Establecimiento Educativo,REPUBLICA DE HAITI,200233.0,201679.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Lafayette 1879,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26689.35069371896 66951.40969590296)
333,Establecimiento educativo REPUBLICA DE HAITI,Establecimiento Educativo,REPUBLICA DE HAITI,200233.0,202276.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,Lafayette 1879,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26689.35069371896 66951.40969590296)
334,"Establecimiento educativo UGEE Nº6 BACH.POP.DE ADULTOS Y ADOLES.""2DEDICIEMBRE""",Establecimiento Educativo,"UGEE Nº6 BACH.POP.DE ADULTOS Y ADOLES.""2DEDICIEMBRE""",200233.0,202496.0,00,Estatal,Nivel secundario de jóvenes y adultos,Unidad de Gestión Educativa Experimental,Dirección de Educación del Adulto y del Adolescente,Lafayette 1879,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26689.35069371896 66951.40969590296)
335,Establecimiento educativo BACH. POP. DE JOVENES Y ADULTOS VILLA 21 24,Establecimiento Educativo,BACH. POP. DE JOVENES Y ADULTOS VILLA 21 24,200233.0,202869.0,00,Privada,Nivel secundario de jóvenes y adultos,Bachilleratos Populares de Jóvenes y Adultos,Dirección de Educación del Adulto y del Adolescente,Lafayette 1879,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26689.35069371896 66951.40969590296)
336,Establecimiento educativo FRAY MAMERTO ESQUIU,Establecimiento Educativo,FRAY MAMERTO ESQUIU,200235.0,200296.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Salom 332,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27406.12334657067 68105.3005460863)
337,Establecimiento educativo JIC N° 04 DE 05,Establecimiento Educativo,JIC N° 04 DE 05,200236.0,200477.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Comunes (JIC),Dirección de Educación Inicial,Cachi 77,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24583.54523355839 68340.4354261384)
338,Establecimiento educativo PROVINCIA DE SAN LUIS,Establecimiento Educativo,PROVINCIA DE SAN LUIS,200236.0,200589.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Cachi 77,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24583.54523355839 68340.4354261384)
339,Establecimiento educativo CENS Nº 72 DE 05,Establecimiento Educativo,CENS Nº 72 DE 05,200236.0,202304.0,01,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,Cachi 77,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24583.54523355839 68340.4354261384)
340,Establecimiento educativo ARZOBISPO MARIANO ANTONIO ESPINOSA,Establecimiento Educativo,ARZOBISPO MARIANO ANTONIO ESPINOSA,200237.0,200484.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,"Montes De Oca, Manuel Av. 807",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (28088.351137681108 69111.25305281824)
341,Establecimiento educativo JIN A DE 5 (ESC. PRIM. Nº 15 DE 05),Establecimiento Educativo,JIN A DE 5 (ESC. PRIM. Nº 15 DE 05),200237.0,201596.0,02,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,"Montes De Oca, Manuel Av. 807",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (28088.351137681108 69111.25305281824)
342,Establecimiento educativo SABINA BOVE DE BOZZALLA,Establecimiento Educativo,SABINA BOVE DE BOZZALLA,200238.0,200321.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,"Alcorta, Amancio Av. 3402",Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (25119.47227481834 67430.45406915767)
343,Establecimiento educativo SABINA BOVE DE BOZZALLA,Establecimiento Educativo,SABINA BOVE DE BOZZALLA,200238.0,200473.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,"Alcorta, Amancio Av. 3402",Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (25119.47227481834 67430.45406915767)
344,Establecimiento educativo DR. PEDRO MELITON LEDESMA,Establecimiento Educativo,DR. PEDRO MELITON LEDESMA,200239.0,200050.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Traful 3835,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24441.519713612342 67517.47864991866)
345,Establecimiento educativo DR. PEDRO MELITON LEDESMA,Establecimiento Educativo,DR. PEDRO MELITON LEDESMA,200239.0,200468.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,Traful 3835,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24441.519713612342 67517.47864991866)
346,Establecimiento educativo JIN B DE 05 (ESC. PRIM. N°18 DE 05),Establecimiento Educativo,JIN B DE 05 (ESC. PRIM. N°18 DE 05),200240.0,200617.0,03,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Caseros Av. 2152,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26463.467099541445 69372.3095600412)
347,Establecimiento educativo JUAN ENRIQUE PESTALOZZI,Establecimiento Educativo,JUAN ENRIQUE PESTALOZZI,200240.0,201498.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Caseros Av. 2152,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26463.467099541445 69372.3095600412)
348,Establecimiento educativo ESEA DANZA MASTRAZZI CURSO INFANTIL N°09,Establecimiento Educativo,ESEA DANZA MASTRAZZI CURSO INFANTIL N°09,200240.0,203027.0,03,Estatal,Cursos y talleres de la submodalidad artística,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,Caseros Av. 2152,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26463.467099541445 69372.3095600412)
349,Establecimiento educativo ESEA DANZA MASTRAZZI CURSO JUVENIL N°01,Establecimiento Educativo,ESEA DANZA MASTRAZZI CURSO JUVENIL N°01,200240.0,203027.0,20,Estatal,Cursos y talleres de la submodalidad artística,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,Caseros Av. 2152,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26463.467099541445 69372.3095600412)
350,Establecimiento educativo PROVINCIA DE FORMOSA,Establecimiento Educativo,PROVINCIA DE FORMOSA,200241.0,200298.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Elia 473,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (24998.521338230446 68409.4148360655)
351,Establecimiento educativo NIEVES ESCALADA DE OROMI,Establecimiento Educativo,NIEVES ESCALADA DE OROMI,200242.0,200077.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,San Antonio 682,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27852.33319375806 67690.61119570919)
352,Establecimiento educativo CLUB DE CHICOS BARRACAS,Establecimiento Educativo,CLUB DE CHICOS BARRACAS,200242.0,202363.0,30,Estatal,Servicios complementarios/alternativos,Centros de Actividades Infantiles y Juveniles,Subsecretaría de Gestión del Aprendizaje,San Antonio 682,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27852.33319375806 67690.61119570919)
353,Establecimiento educativo LORENZO ANADON,Establecimiento Educativo,LORENZO ANADON,200243.0,200476.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Traful 3847,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24405.521922850807 67513.48034290595)
354,Establecimiento educativo CENTRO TRAFUL,Establecimiento Educativo,CENTRO TRAFUL,200243.0,203203.0,02,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Educación No Formal (CENOF),Gerencia Operativa de Educación para el Desarrollo y la Inclusión Labora,Traful 3847,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24405.521922850807 67513.48034290595)
355,Establecimiento educativo CONTRALMIRANTE MARTIN GUERRICO,Establecimiento Educativo,CONTRALMIRANTE MARTIN GUERRICO,200244.0,201682.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Lynch 3536,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24909.48738423734 67467.46124720141)
356,Establecimiento educativo MARCOS PAZ,Establecimiento Educativo,MARCOS PAZ,200245.0,201178.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,"Alcorta, Amancio Av. 2502",Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26152.450758399573 68506.36186182857)
357,Establecimiento educativo MIGUEL DE AZCUENAGA,Establecimiento Educativo,MIGUEL DE AZCUENAGA,200246.0,200485.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Pichincha 1873 - Pichincha Av. 1873,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26143.505356052905 69789.30415512255)
358,Establecimiento educativo JIN B DE 05 (ESC. PRIM. N° 26 DE 05),Establecimiento Educativo,JIN B DE 05 (ESC. PRIM. N° 26 DE 05),200246.0,200617.0,04,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Pichincha 1873 - Pichincha Av. 1873,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26143.505356052905 69789.30415512255)
359,Establecimiento educativo MANUEL DE SARRATEA,Establecimiento Educativo,MANUEL DE SARRATEA,200247.0,200654.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Vieytes 1469,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27916.61770008402 67712.14900429212)
360,Establecimiento educativo MANUEL DE SARRATEA,Establecimiento Educativo,MANUEL DE SARRATEA,200247.0,201283.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,Vieytes 1469,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27916.61770008402 67712.14900429212)
361,Establecimiento educativo EI Nº 07 PADRE DANIEL DE LA SIERRA DE 05,Establecimiento Educativo,EI Nº 07 PADRE DANIEL DE LA SIERRA DE 05,200248.0,201181.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Escuelas Infantiles (EI),Dirección de Educación Inicial,Alvarado 3295,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26309.414316373204 67881.38358529947)
362,Establecimiento educativo EI Nº 05 MARIA EVA DUARTE DE PERON DE 05,Establecimiento Educativo,EI Nº 05 MARIA EVA DUARTE DE PERON DE 05,200249.0,201729.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Escuelas Infantiles (EI),Dirección de Educación Inicial,"Chutro, Pedro, Prof., Dr. 3380",Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (24834.534320276267 68467.41913621213)
363,Establecimiento educativo EI Nº06 ROSARIO VERA PENALOZA DE 05,Establecimiento Educativo,EI Nº06 ROSARIO VERA PENALOZA DE 05,200250.0,201621.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Escuelas Infantiles (EI),Dirección de Educación Inicial,"Montes De Oca, Manuel Av. 16",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27856.4060585864 70058.21985977388)
364,Establecimiento educativo JII Nº 01 WALT DISNEY DE 05,Establecimiento Educativo,JII Nº 01 WALT DISNEY DE 05,200251.0,201697.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Integrales (JII),Dirección de Educación Inicial,Caseros Av. 1555,Constitucion,1,Mapa Escolar - Ministerio de Educación,POINT (27196.08590548337 69640.70034227098)
365,Establecimiento educativo JII Nº 02 ANTONIO ABERASTAIN DE 05,Establecimiento Educativo,JII Nº 02 ANTONIO ABERASTAIN DE 05,200252.0,200621.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Integrales (JII),Dirección de Educación Inicial,San Antonio 1136,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (28024.2710258089 67111.34638776332)
366,Establecimiento educativo ESC. DE COM. Nº 18 REINO DE SUECIA DE 05,Establecimiento Educativo,ESC. DE COM. Nº 18 REINO DE SUECIA DE 05,200253.0,201182.0,00,Estatal,Nivel secundario común,Escuelas de Comercio,Dirección de Educación Media,"Gomez, Juan Carlos 253",Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26608.44649448249 69105.31558657494)
367,Establecimiento educativo ESC. DE EDUC. MEDIA Nº 01 NORBERTO JULIO MORRESI  DE 05,Establecimiento Educativo,ESC. DE EDUC. MEDIA Nº 01 NORBERTO JULIO MORRESI  DE 05,200253.0,202347.0,00,Estatal,Nivel secundario de jóvenes y adultos,Escuelas de Reingreso,Dirección de Educación Media,"Gomez, Juan Carlos 253",Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26608.44649448249 69105.31558657494)
368,Establecimiento educativo NOCHERITOS,Establecimiento Educativo,NOCHERITOS,200253.0,202458.0,22,Estatal,Servicios complementarios/alternativos,Primera Infancia,Subsecretaría de Gestión del Aprendizaje,"Gomez, Juan Carlos 253",Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26608.44649448249 69105.31558657494)
369,Establecimiento educativo ESC. TEC. Nº 04 REPUBLICA DEL LIBANO DE 05,Establecimiento Educativo,ESC. TEC. Nº 04 REPUBLICA DEL LIBANO DE 05,200254.0,201456.0,00,Estatal,Nivel secundario común,Escuelas Técnicas,Dirección de Educación Técnica,"Montes De Oca, Manuel Av. 121",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27890.39741823501 69906.22529339785)
370,Establecimiento educativo ESCUELA INTEGRAL INTERDISCIPLINARIA N° 05 DE 05,Establecimiento Educativo,ESCUELA INTEGRAL INTERDISCIPLINARIA N° 05 DE 05,200255.0,200062.0,00,Estatal,Integración de modalidad especial | Nivel primario especial,Escuelas Integrales Interdisciplinarias,Dirección de Educación Especial,"Cortejarena, Jose A. 3350",Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (24976.520255429623 68351.41834922797)
371,Establecimiento educativo ESC. TEC. Nº 10 FRAY LUIS BELTRAN DE 05,Establecimiento Educativo,ESC. TEC. Nº 10 FRAY LUIS BELTRAN DE 05,200256.0,201216.0,00,Estatal,Nivel secundario común,Escuelas Técnicas,Dirección de Educación Técnica,Vieytes 942,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27711.34647822955 68420.300201836)
372,Establecimiento educativo ESC. TEC. Nº 14 LIBERTAD DE 05,Establecimiento Educativo,ESC. TEC. Nº 14 LIBERTAD DE 05,200257.0,200843.0,00,Estatal,Nivel secundario común,Escuelas Técnicas,Dirección de Educación Técnica,Santa Magdalena 431,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27531.851857728172 67938.24891584074)
373,Establecimiento educativo,Establecimiento Educativo,,,,,,,,,Isabel La Catolica 191,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (28159.463790472117 69419.45757772744)
374,Establecimiento educativo ENS Nº 05 GRAL. MARTIN MIGUEL GUEMES DE 05,Establecimiento Educativo,ENS Nº 05 GRAL. MARTIN MIGUEL GUEMES DE 05,200259.0,201328.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal | Nivel primario común | Nivel secundario común,Escuelas Normales Superiores,Dirección de Escuelas Normales Superiores,Arcamendia 743,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27622.36383695374 68697.29134392363)
375,Establecimiento educativo LICEO COMERCIAL Nº 03 JOSE MANUEL ESTRADA DE 05,Establecimiento Educativo,LICEO COMERCIAL Nº 03 JOSE MANUEL ESTRADA DE 05,200259.0,201525.0,00,Estatal,Nivel secundario común,Liceos,Dirección de Educación Media,Arcamendia 743,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27622.36383695374 68697.29134392363)
376,Establecimiento educativo JII Nº 10 DE 05,Establecimiento Educativo,JII Nº 10 DE 05,200261.0,202200.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Integrales (JII),Dirección de Educación Inicial,"Iriarte, Gral. Av. 3880",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (25448.11430961517 67609.08550495375)
377,Establecimiento educativo CENTRO INFANTIL ZAVALETA,Establecimiento Educativo,CENTRO INFANTIL ZAVALETA,200261.0,202363.0,40,Estatal,Servicios complementarios/alternativos,Centros de Actividades Infantiles y Juveniles,Subsecretaría de Gestión del Aprendizaje,"Iriarte, Gral. Av. 3880",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (25448.11430961517 67609.08550495375)
378,Establecimiento educativo SOL DE NOCHE,Establecimiento Educativo,SOL DE NOCHE,200261.0,202458.0,24,Estatal,Servicios complementarios/alternativos,Primera Infancia,Subsecretaría de Gestión del Aprendizaje,"Iriarte, Gral. Av. 3880",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (25448.11430961517 67609.08550495375)
379,Establecimiento educativo ESC. TEC. Nº 07 DOLORES LAVALLE DE LAVALLE DE 05,Establecimiento Educativo,ESC. TEC. Nº 07 DOLORES LAVALLE DE LAVALLE DE 05,200262.0,200838.0,00,Estatal,Nivel secundario común,Escuelas Técnicas,Dirección de Educación Técnica,Zavaleta 204,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (25525.290195717454 68885.53393620042)
380,Establecimiento educativo CLUB DE JOVENES PARQUE PATRICIOS,Establecimiento Educativo,CLUB DE JOVENES PARQUE PATRICIOS,200262.0,202363.0,07,Estatal,Servicios complementarios/alternativos,Centros de Actividades Infantiles y Juveniles,Subsecretaría de Gestión del Aprendizaje,Zavaleta 204,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (25525.290195717454 68885.53393620042)
381,Establecimiento educativo IFTS Nº 11 DE 05,Establecimiento Educativo,IFTS Nº 11 DE 05,200262.0,202464.0,00,Estatal,Nivel superior no universitario común,Institutos de Formación Técnica Superior,Dirección de Educación Técnica Superior,Zavaleta 204,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (25525.290195717454 68885.53393620042)
382,Establecimiento educativo CFP Nº 36 DE 05,Establecimiento Educativo,CFP Nº 36 DE 05,200262.0,202935.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Formación Profesional (CFP),Gerencia Operativa de Formación para el Trabajo y el Empleo,Zavaleta 204,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (25525.290195717454 68885.53393620042)
383,Establecimiento educativo ESC. HOSPITALARIA Nº 02 DE 05,Establecimiento Educativo,ESC. HOSPITALARIA Nº 02 DE 05,200264.0,200060.0,00,Estatal,ivel secundario adultos de la submodalidad domiciliaria/hospitalaria | Nivel inicial de la submodalidad domiciliaria/hospitalaria | Nivel inicial especial de la submodalidad domiciliaria/hospitalaria | Nivel primario de la submodalidad domiciliaria/hospi,Escuelas Hospitalarias,Dirección de Educación Especial,Combate De Los Pozos 1881,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26568.4811436907 69866.2827855942)
384,Establecimiento educativo CENS Nº 89 DE 05,Establecimiento Educativo,CENS Nº 89 DE 05,200264.0,202506.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,Combate De Los Pozos 1881,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26568.4811436907 69866.2827855942)
385,Establecimiento educativo CENTRO EDUCATIVOS PARA NIÑOS EN TIEMPOS Y ESPACIOS SINGULARES Nº 01 DE 05,Establecimiento Educativo,CENTRO EDUCATIVOS PARA NIÑOS EN TIEMPOS Y ESPACIOS SINGULARES Nº 01 DE 05,200266.0,201327.0,00,Estatal,Integración de modalidad especial | Nivel inicial especial - Jardín de infantes | Nivel primario especial,Centros Educativos para niños en tiempos y espacios singulares,Dirección de Educación Especial,"Carrillo, Ramon, Dr. 317 - Carrillo, Ramon, Dr. 375",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27466.223390483367 69089.08543309712)
386,Establecimiento educativo CENTRO EDUCATIVO DE NIVEL PRIMARIO,Establecimiento Educativo,CENTRO EDUCATIVO DE NIVEL PRIMARIO,200266.0,201598.0,80,Estatal,Nivel primario de jóvenes y adultos,Centros Educativos de Nivel Primario (CENP),Dirección de Educación del Adulto y del Adolescente,"Carrillo, Ramon, Dr. 317 - Carrillo, Ramon, Dr. 375",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27466.223390483367 69089.08543309712)
387,Establecimiento educativo CFP Nº 02 DE 05 HOSPITAL BORDA,Establecimiento Educativo,CFP Nº 02 DE 05 HOSPITAL BORDA,200266.0,202437.0,01,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Formación Profesional (CFP),Gerencia Operativa de Formación para el Trabajo y el Empleo,"Carrillo, Ramon, Dr. 317 - Carrillo, Ramon, Dr. 375",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27466.223390483367 69089.08543309712)
388,Establecimiento educativo ESC. HOSPITALARIA Nº 03 DE 05,Establecimiento Educativo,ESC. HOSPITALARIA Nº 03 DE 05,200268.0,202305.0,00,Estatal,Nivel inicial de la submodalidad domiciliaria/hospitalaria | Nivel inicial especial de la submodalidad domiciliaria/hospitalaria | Nivel primario de la submodalidad domiciliaria/hospitalaria | Nivel primario especial de la submodalidad domiciliaria/hospi,Escuelas Hospitalarias,Dirección de Educación Especial,"Montes De Oca, Manuel Av. 40",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27871.403826845664 70029.22051428776)
389,Establecimiento educativo CENTRO EDUCATIVO DE NIVEL PRIMARIO,Establecimiento Educativo,CENTRO EDUCATIVO DE NIVEL PRIMARIO,200272.0,201598.0,19,Estatal,Nivel primario de jóvenes y adultos,Centros Educativos de Nivel Primario (CENP),Dirección de Educación del Adulto y del Adolescente,"Alcorta, Amancio Av. 3950",Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24480.621727972582 67019.45751311757)
390,Establecimiento educativo CENTRO EDUCATIVO DE NIVEL PRIMARIO,Establecimiento Educativo,CENTRO EDUCATIVO DE NIVEL PRIMARIO,200275.0,201598.0,04,Estatal,Nivel primario de jóvenes y adultos,Centros Educativos de Nivel Primario (CENP),Dirección de Educación del Adulto y del Adolescente,Guarani 272,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24487.978179260186 68570.27553557963)
391,Establecimiento educativo CFP Nº 19 DE 05,Establecimiento Educativo,CFP Nº 19 DE 05,200275.0,202394.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Formación Profesional (CFP),Gerencia Operativa de Formación para el Trabajo y el Empleo,Guarani 272,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24487.978179260186 68570.27553557963)
392,Establecimiento educativo CENTRO CARITAS,Establecimiento Educativo,CENTRO CARITAS,200275.0,203203.0,50,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Educación No Formal (CENOF),Gerencia Operativa de Educación para el Desarrollo y la Inclusión Labora,Guarani 272,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24487.978179260186 68570.27553557963)
