long,lat,id,nombre,tipo,tipo_norma,sede,direccion,direccion_2,observaciones_direccion,telefono,e_mail,facebook,web,actividade,instalacio,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4763984883141,-34.5863878955635,42,SABER,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Llerena 2725/27,Llerena 2725,,4521-8146,,,,"Baby fútbol, patin, voley, gimnasia, artes marciales, tango, gimnasia deportiva, danza, ajedrez. Actividades culturales.",cancha - salon,Llerena ,2725,Parque Chas,Comuna 15,1427,C1427DEG
-58.4437634097164,-34.5588893222616,43,EXCURSIONISTAS,CLUB,CLUB,UNICA,La Pampa 1376,La Pampa 1376,,4788-8007 sandra administrativa,,Club-Atletico-Excursionistas,www.excursionistas.org.ar,"Patin artistico, fútbol femenino, baby fútbol, boxeo,futsal federado AFA, Tenis.",Natatorios,La Pampa ,1376,Belgrano,Comuna 13,1428,C1428DZB
-58.4585962109228,-34.5963102730326,44,"TIERRA, TECHO Y TRABAJO",CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Jorge Newbery 4870,Jorge Newbery 4870,,4855-1531,,,,"Voley, baby, gimnasia, patin, artes marciales, tango, folklore, boxeo.",biblioteca - cancha - salones,Jorge Newbery ,4870,Chacarita,Comuna 15,1427,C1427EHO
-58.5105984580064,-34.5777917190482,45,17 DE AGOSTO,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Albarellos 2935,Albarellos 2935,,4572-1106,c17deagosto@yahoo.com.ar -  c17deagosto@hotmail.com,,www.club17deagosto.com.ar,"Baby, futsal masculino y femenino, basquet masculino y femenino, bochas, natacion, gimnasia deportiva, musculacion, tenis, artes marciales. Actividades culturales.",canchas - salones - natatorio,Albarellos ,2935,Villa Pueyrredon,Comuna 12,1419,C1419FSG
-58.521236423563,-34.6367434712927,46,ASOCIACION CIVIL CLUB ATLETICO SOCIAL Y DEPORTIVO DEFENSORES DE OBRA SOCIAL FERROVIARIA DOSFE,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Reservistas Argentinos 195,Reservistas Argentinos 195,,4641-2455,,,,"Fútbol, voley, bochas, ajedrez.",,Reservistas Argentinos ,195,Liniers,Comuna 9,1408,C1408AIC
-58.4610819454646,-34.5997516160054,47,ASOCIACION SCHOLEM ALEIJEM,CLUB,CLUB,SEDE DEPORTIVA (TIENE DOS ANEXOS EN PROVINCIA),Maturin  2455,Maturin  2455,,4582-5719,administracion@sholem.org.ar,,www.sholem.org.ar,"Voley masculino y femenino, basket masculino, fútbol de campo, fútbol de salón, gimnasia deportiva, taekwondo.",salones - canchas,Maturin  ,2455,Paternal,Comuna 15,1416,C1416CTG
-58.4774263688278,-34.6782617328716,48,ATLETICO LUGANO,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Cafayate 4155,Cafayate 4155,,4602-0196 y 4601-8214,clublugano@telecentro.com.ar,,,"Baby, basquet, voley, handbol, gimnasia aerobica, iniciacion deportiva.",cancha - salones,Cafayate ,4155,Villa Lugano,Comuna 8,1439,C1439FUC
-58.5081579753981,-34.5785932504795,49,CLUB PUEYRREDON,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Larsen 2843,Larsen 2843,,4571-0156,,,,"Artes marciales, fútbol 5, billar, patin.",canchas - salones,Larsen ,2843,Villa Pueyrredon,Comuna 12,1419,C1419FPK
-58.4850199573162,-34.6140222832409,50,UNION ARGENTINA DE SORDOMUDOS  UAS,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Cuenca 1750,Cuenca 1750,,4581-6524,uas.union@gmail.com,,,"Futsal, basket, voley, artes marciales, danza.",salon - canchas,Cuenca ,1750,Villa Santa Rita,Comuna 11,1416,C1416BCR
-58.4630801892184,-34.6850917372259,51,JOVENES DEPORTISTAS - ASOCIACION CIVIL GENERAL SAVIO,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Soldado de la Frontera 5236,Soldado de la Frontera 5236,,4605-0701,jovenesdeportistas1994@gmail.com,JOVENES DEPORTISTAS,,"Fútbol 11, patin, gimnasia modeladora, localizada, aeróbica, danza arabe, hockey, baby, fútbol femenino, axe, musculacion, artes marciales, kick boxing, muai tai, boxeo.",biblioteca - canchas - salon,Soldado de la Frontera ,5236,Villa Lugano,Comuna 8,1439,C1439FPH
-58.3736450399583,-34.6448569765598,52,SANTA LUCIA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Montes de Oca 1517,Montes de Oca 1517,,4301-0996  3529-7776,,,,"Escuelas deportivas de danza, boxeo, patín artístico fútbol y handbol y karate.",gimnasio - cancha - salon,Montes de Oca ,1517,Barracas,Comuna 4,1270,C1270ABC
-58.3738637682553,-34.6476130802853,53,BARRACAS JUNIORS,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Gral Hornos 1850,Gral Hornos 1850,,4301-7285  4301-0948,barracasjuniors@yahoo.com,,,"Tenis, padel, fútbol, taekwondo, gimnasia femenina. Academias infantiles de tenis, básquet y fútbol. Actividades culturales.",canchas - salones - gimnasio,Gral Hornos ,1850,Barracas,Comuna 4,1272,C1272AEB
-58.4605225314212,-34.5391284860756,54,NAUTICO BOUCHARDO,CLUB,CLUB,SEDE NUÑEZ (TIENEN OTRA SEDE EN SAN ISIDRO),Comodoro Rivadavia  1250,Comodoro Rivadavia  1250,,4702-9970 / 9837,administracion@cnb.org.ar    -    secretaria@cnb.org.ar,"Club Náutico Buchardo - Sede Núñez
Club deportivo",www.cnb.org.ar,"Tenis, fútbol, voley, básquet, gimnasia. Vela. Actividades culturales.",Juegos de mesa. Cine debate.,Comodoro Rivadavia  ,1250,Nu\u00f1ez,Comuna 13,1429,C1429DBO
-58.5078851008746,-34.5813930850897,55,PRO FOMENTO PUEYRREDON,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Bazurco 2922,Bazurco 2922,,4571-6950,jpueyrre@yahoo.com.ar,,,"Baby fútbol, voley, basket, patin artistico, taekwondo, gimnasia con aparatos .",canchas - salon,Bazurco ,2922,Villa Pueyrredon,Comuna 12,1419,C1419FLB
-58.4954493433047,-34.6238012086446,56,CLUB MITRE,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Segurola 1332,Segurola 1332,,4567-8185,clubmitre@hotmail.com,CLUB SOCIAL Y DEPORTIVO MITRE,,"baby fútbol, patin artistico, taekwondo,
tango, folklore",cancha - salon,Segurola ,1332,Velez Sarsfield,Comuna 10,1407,C1407AOB
-58.4460277764527,-34.6317359743701,58,GIMNASIO CHACABUCO,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Miro 750/58,Miro 750,,4432-5575 de 14 a 22 hs,clubgimnasiochacabuco@yahoo.com.ar,CLUB CHACABUCO,www.clubgchacabuco.com.ar,"Futsal - baby - Patín - Gimdance, Guitarra para menores, taekwondo, YOGA, TEATRO infantil, salsa, Kendo, bachata, sipalki, boxeo, Fútbol, gimnasia aero localizada, aikido, balroom, gimnasio musculación (más info en Tabla Anexo)",canchas - salon,Miro ,750,Parque Chacabuco,Comuna 7,1406,C1406CUP
-58.4643137946115,-34.6426844001293,59,FLORES CLUB,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Quirno 947,Quirno 947,,4612-0894,floresclub@argentina.com.ar,,,"Futsal, baby, patin, gimnasia deportiva, danza, artes marciales y yoga.",cancha - salones,Quirno ,947,Flores,Comuna 7,1406,C1406EZS
-58.4166603683439,-34.6272103199601,60,BUENOS AIRES SUR,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Cochabamba 3650,Cochabamba 3650,,4956-0487  (desde las 17.30 hs),,CLUB BUENOS AIRES SUR,,"Fútbol infantil (FAFI, FEFI y escuelita), Vóley femenino (adultas) y Taekwondo (infantil y adultos)",canchas - salon,Cochabamba ,3650,Boedo,Comuna 5,1252,C1252ABL
-58.4975832820641,-34.5660007245266,61,ISLANDIA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Nuñez 5566,Nuñez 5566,,S/T,,,,"Gimnasia, karate, futsal, tango, murga, canotaje.",cancha - salon,Nu,5566,,,,
-58.5202757094054,-34.6073581490243,62,ORGANIZACION INDEPENDIENTE DEL DEPORTE ASOCIACION CIVIL,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Pedro Moran 4801,Pedro Moran 4801,,4568-5871,,,,patin,canchas,Pedro Moran ,4801,Villa Devoto,Comuna 11,1419,C1419HLO
-58.5225472755198,-34.6260015404845,63,ATENEO POPULAR VERSAILLES,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Roma 950,Roma 950,,4641-0112,nuevoapv@yahoo.com.ar,,www.ateneoversailles.com.ar,"Baby, voley, gimnasia, artes marciales, danza, cestobal, natación, tenis, boxeo.",biblioteca - natatorios - canchas - salones,Roma ,950,Versalles,Comuna 10,1408,C1408BZJ
-58.5237182697991,-34.6055824613677,64,SOCIAL HABANA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Av. Lastra 4175,Av. Lastra 4175,,450-41065,,,,"gimnasia deportiva, artes marciales, ajedrez, danza arabe, yoga, folklore.",salon,Av. Lastra ,4175,Villa Devoto,Comuna 11,1419,C1419BYG
-58.5100590023725,-34.6592327006052,65,GLORIAS ARGENTINAS,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Bragado 6875,Bragado 6875,,4687-8576,,Club-Glorias-Argentinas-Futbol-Infantil    y    Club-Glorias-Argentinas,www.clubgloriasargentinas.com,"Baby fútbol, futsal, gimnasia deportiva, voley, taekwondo, tango, salsa, merengue",canchas - salon,Bragado ,6875,Mataderos,Comuna 9,1440,C1440ADM
-58.4605916714591,-34.6515993137541,66,PINTITA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Mariano Acosta 2005,Mariano Acosta 2005,,4611-1181,,,,"Baby, futsal, patín.",canchas - salon,Mariano Acosta ,2005,Flores,Comuna 7,1407,C1407KCO
-58.4393183846888,-34.6405806095327,67,PEÑAROL ARGENTINO,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Zañartu 1547,Zañartu 1547,,4924-2111,,CLUB PEÑAROL ARGENTINO,,"Atletismo, baby, futsal, voley, gimnasia artistica, yoga, gimnasia aerobica, aikido, kundo, taekwondo, patin.
",canchas - salones,Za,1547,,,,
-58.5246632531849,-34.6518813541443,68,JUVENTUD DE LINIERS,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Montiel 1174,Montiel 1174,,4641-9295,,Juventud de Liniers,www.juventuddeliniers.org.ar,"Futbol infantil, patín artístico, gimnasia artística, taekwondo, gimnasia damas, yoga, kick boxing sistema ruso y danza. Actividades culturales.",cancha - salon,Montiel ,1174,Liniers,Comuna 9,1408,C1408FVX
-58.4485204530849,-34.595102936907,70,ATLANTA,CLUB,CLUB,UNICA,Humboldt 374,Humboldt 374,,4856-5999,club_atlanta@hotmail.com,,,"Baby fútbol, futsal, boxeo, artes marciales, musculacion, patin, fútbol 11, voley, basquet.",natatorios - salones - canchas - bibliotecas,Humboldt ,374,Villa Crespo,Comuna 15,1414,C1414CSH
-58.4731793020509,-34.6438069611777,71,AMERICA DEL SUD,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Francisco Bilbao 3760,Francisco Bilbao 3760,,4671-6946,,,,"Fútbol (escuelita y competición -FAFI-), Futsal (AFA), Taekwondo, Patín, Acrobacia, Gimnasia modeladora y aeróbica, Gimnasio de musculación, Natación (escuela y pileta libre), Aquagym y Basquet masculino. Danza árabe y Tango.",natatorio climatizado - salon - gimnasio - cancha,Francisco Bilbao ,3760,Parque Avellaneda,Comuna 9,1407,C1407HOF
-58.5212666962345,-34.636465592631,72,CLUB DEL PERSONAL DE DIRECCION DEL FERROCARRIL DOMINGO FAUSTINO SARMIENTO - FCDFS,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Reservistas Argentinos 219,Reservistas Argentinos 219,,4644-2360   4642-9845,clubferrocarrildfs@hotmail.com,,,"Folklore, tango, gimnasia femenina, fútbol 7 y 9, natación, tenis, pelota paleta, pádel, vóley. Actividades culturales.
",cancha - salon - natatorio,Reservistas Argentinos ,219,Liniers,Comuna 9,1408,C1408AIE
-58.5074149173304,-34.6472954812897,73,"CLUB SOCIAL, CULTURAL Y DEPORTIVO LARRAZABAL",CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Larrazabal 829,Larrazabal 829,,4642-7089,larrazabalclubsocial@gmail.com,,,"Artes marciales, yoga. Actividades culturales.",salones,Larrazabal ,829,Liniers,Comuna 9,1440,C1440CUA
-58.4110902793359,-34.5718629104069,74,CLUB DE AMIGOS,CLUB,CLUB,UNICA,Figueroa Alcorta 3885,Figueroa Alcorta 3885,,4802-3058 / 4807-4035  / 4801-1213,info@clubdeamigos.org.ar,Club de Amigos,www.clubdeamigos.org.ar,"basquet, fútbol, gimnasia, hockey, artes marciales, natacion, rugby, tenis, voley, fitness.",canchas - gimnasio - natatorios,Figueroa Alcorta ,3885,Palermo,Comuna 14,1425,C1425CLE
-58.4690966546345,-34.5943848622373,75,CIRCULO LA PATERNAL,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Paz Soldan 5035,Paz Soldan 5035,,4553-4137,circulolapaternal@hotmail.com,circulo la paternal,,"Baby, patín, voley, gimnasia, artes marciales, pelota paleta, fútbol fem. y masc. infantil. Artes marciales, MMA (artes marciales mixtas combinadas con gimnasia), entrenamiento funcional. Danzas, danza clásica. Activ culturales (más info en Tabla Anexo)",canchas - salones,Paz Soldan ,5035,Paternal,Comuna 15,1427,C1427DSG
-58.4988218460634,-34.6021818827831,76,CLUB DE GIMNASIA Y ESGRIMA DE VILLA DEL PARQUE,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Tinogasta 3455,Tinogasta 3455,,4501-1518 int. 11 y 12  FAX: 4501-2438,gevpadministracion@fibertel.com.ar,Club Gevp,www.gevparque.org,"Básquet, Cestoball, Danza, Gim. rítmica, artística, aeróbica y suave, Yoga, Gim. de musculación, Indoor cycling, Pilates, Tango, Fútbol, Vóley masc. y fem., Taekwondo, Buceo, Natación y Tenis. Activ. Culturales (más info en Tabla Anexo)",canchas - salones - gimnasios - natatorios climatizados,Tinogasta ,3455,Villa Del Parque,Comuna 11,1417,C1417EIC
-58.434349118353,-34.6236708658365,77,CLUB OESTE,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Jose M. Moreno 446,Jose M. Moreno 446,,4923-7509,cluboeste2003@yahoo.com.ar,Club-Oeste Caballito,www.webcluboeste.com.ar,"Árabe, básquet, axe, danza, gim articular, escuela de fútbol, fútbol infantil, gim. artística, ninjutsu, patín escuela, taekwondo, karate, tango, voley adultos, tai-chi-chuan, yoga tt, salsa. Actividades culturales.",canchas - salones,Jose M. Moreno ,446,Caballito,Comuna 6,1424,C1424AAR
-58.422974627805,-34.628763341448,78,ESTRELLA DE BOEDO,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Constitucion 4151,Constitucion 4151,,4921-9310,estrelladeboedo@yahoo.com.ar,CLUB ESTRELLA DE BOEDO,www.estrelladeboedo.com,"Baby, futsal, básquet, voley, gimnasia, gimnasia deportiva, hándbol, patín, futsal para chicos con capacidades especiales. Actividades culturales.",biblioteca - canchas - salon - natatorio,Constitucion ,4151,Boedo,Comuna 5,1254,C1254ABU
-58.4721516536416,-34.5570239202985,79,MARIANO MORENO,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Gral Ramon Freire 3151,Gral Ramon Freire 3151,,5354-5332,info@clubmarianomoreno.org.ar,Club Mariano Moreno - Ajedrez,www.clubmarianomoreno.org.ar,"ajedrez, juegos de mesa, bIllar",salon,Gral Ramon Freire ,3151,Coghlan,Comuna 12,1429,C1429ASE
-58.4161727685791,-34.5878774640264,80,BOCHIN CLUB,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Julian Alvarez 2355,Julian Alvarez 2355,,4823-7507,clubelbochin@gmail.com,,,"Pelota Paleta, Arquería, Yoga. Actividades culturales.",canchas - salones,Julian Alvarez ,2355,Palermo,Comuna 14,1425,C1425DHI
-58.4978220406996,-34.5888625659513,81,LA EMILIANA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Terrada 4243,Terrada 4243,,4571-1271,clublaemiliana@yahoo.com.ar,CLUB LA EMILIANA,,"Juegos de salón, boxeo, defensa personal, taekwondo, full contact, karate, patín, gimnasia rítmica, gimnasia para adultos, folklore, tango, ajedrez. Actividades culturales.",salon - cancha de bochas,Terrada ,4243,Villa Pueyrredon,Comuna 12,1419,C1419DKK
-58.3766617039229,-34.6074333671892,83,ASOCIACION BANCARIA,CLUB,CLUB,SEDE ADMINISTRATIVA (Y TIENEN ANEXOS EN PROVINCIA),Maipu 62 3º 0f 17,Maipu 62,,4343-6126 / 4342-2117,abadargentina@gmail.com,ASOCIACION BANCARIA ARGENTINA DE DEPORTES,www.abadargentina.com.ar,"Fútbol, básquet, tenis, tiro, pesca, voley, bowling, golf y ajedrez.","Sin instalaciones, utilizan instalaciones de asociaciones y clubes miembros",Maipu ,62,San Nicolas,Comuna 1,1084,C1084ABB
-58.4353594189412,-34.6119665067839,84,PREMIER,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Campichuelo 472,Campichuelo 472,,4982-7637,,Club Premier,www.clubpremier.org.ar,"Danza, baby, patin, taekwondo, yoga, voley, aikido, kung-fu, gimnasia artistica, tela y trapecio.",cancha - salones,Campichuelo ,472,Caballito,Comuna 6,1405,C1405BOF
-58.4926470995387,-34.5678921394738,86,RIO DE LA PLATA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Ibera 5257,Ibera 5257,,4546-0380,clubriodelaplata@fibertel.com.ar,,,"Fútbol infantil, voley, taekwondo, patin, tenis de mesa, musculacion, yoga, danzas, boxeo.",cancha - salones,Ibera ,5257,Villa Urquiza,Comuna 12,1431,C1431AEM
-58.3882851964566,-34.6019071133806,87,VOLUNTARIOS SIN FRONTERAS,CLUB DE BARRIO,CLUB_DE_BARRIO,ADMINISTRATIVA,"Tucuman 1516, 4to. A",Tucuman 1516,,4373-0509,,,,Futbol Femenino y Masculino - Volley Femenino - Artes Marciales Femenino y Masculino.,,Tucuman ,1516,San Nicolas,Comuna 1,1050,C1050AAF
-58.4976628982199,-34.6107001970808,89,PACIFICO,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Santo Tome 3823,Santo Tome 3823,,4567-2791,clubpacifico12deoctubre@gmail.com,,,"Baby fútbol, voley, Gimnasia Deportiva, futsal, Artes Marciales, Ajedrez, Capoeira.",salones - cancha - biblioteca,Santo Tome ,3823,Villa Del Parque,Comuna 11,1417,C1417GGE
-58.4320907805666,-34.6161586226769,90,ITALIANO,CLUB DE BARRIO,CLUB_DE_BARRIO,CENTRAL Sede social,Av. Rivadavia 4731,Av. Rivadavia 4731,,4901-1061/63,clubitaliano@clubitaliano.com.ar,Club Italiano - Buenos Aires Liga deportiva,www.clubitaliano.com.ar,"Básquet, fútbol, gimnasia artística, gimnasia rítmica, hockey, judo, natación, pelota paleta, iniciación deportiva, rugby, tenis, vóley, yoga, kendo, sipalki, taekwondo, danzas árabes, folklore. Actividades culturales. Colonia de vacaciones.",canchas - salones - natatorio,Av. Rivadavia ,4731,Caballito,Comuna 6,1424,C1424CEC
-58.4461648435664,-34.6527431062677,91,ITALIANO,CLUB DE BARRIO,CLUB_DE_BARRIO,ANEXO deportivo,Av. Riestra 2770,Av. Riestra 2770,,,clubitaliano@clubitaliano.com.ar,Club Italiano - Buenos Aires Liga deportiva,www.clubitaliano.com.ar,"Básquet, fútbol, gimnasia artística, gimnasia rítmica, hockey, judo, natación, pelota paleta, iniciación deportiva, rugby, tenis, vóley, yoga, kendo, sipalki, taekwondo, danzas árabes, folklore. Actividades culturales. Colonia de vacaciones.",canchas - salones - natatorio,Av. Riestra ,2770,Villa Soldati,Comuna 8,1437,C1437HJR
-58.4848676617077,-34.5894440694106,92,ARQUITECTURA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Avda. Francisco Beiro 2116,Av. Francisco Beiro 2116,,4523-7306,clubarquitectura@hotmail.com,,,"Natación, Tenis, Hockey femenino, Fútbol, Basquet, Patín, Yoga, Taekwondo, Gimnasia artística, Gimnasia (damas y caballeros) y Boxeo. Folklore y Tango.",cancha - salones - natatorio climatizado - canchas de tenis -cancha de hockey sintetica,Av. Francisco Beiro ,2116,Agronomia,Comuna 15,1419,C1419HXN
-58.4214953349085,-34.650633983018,93,JUVENTUD DE LA NUEVA ERA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Gral. J. J. Valle 2972,Gral. J. J. Valle 2972,,4911-9022,,ASOCIACION CULTURAL Y DEPORTIVA JUVENTUD DE LA NUEVA ERA,,"baby fútbol, taekwondo y voley",cancha,Gral. J. J. Valle ,2972,Nueva Pompeya,Comuna 4,1437,C1437CQD
-58.484894350879,-34.564803518002,94,SUNDERLAND CLUB,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Lugones 3161,Lugones 3161,,4544-1649 / 4541-9776,,,,"Fútbol, Basquet, Patín y Taekwondo. Clases de tango, salsa y bachata.",canchas - salon,Lugones ,3161,Villa Urquiza,Comuna 12,1430,C1430ECK
-58.4279822883004,-34.6443055769624,95,RIESTRA,CLUB,CLUB,CENTRAL,Del Bañado 2353/59,Del Bañado 2353,,4918-0455,mundoriestra@hotmail.com,,www.mundoriestra.com.ar,"Yoga, gimnasia, patin, tango, salsa y merengue. Fútbol. Actividades culturales.",salones - canchas,Del Ba,2353,,,,
-58.4420687351032,-34.6529969222287,96,RIESTRA,CLUB,CLUB,ANEXO,Varela y Ana Maria Janer,Varela y Ana Maria Janer,,4918-0455,mundoriestra@hotmail.com,,www.mundoriestra.com.ar,"yoga, gimnasia, patin, teatro, tango, salsa y merengue y futball",salones - canchas,Varela y Ana Maria Janer,,,,,
-58.4816772983476,-34.6018791321959,97,VILLA SAHORES,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Santo Tome 2496,Santo Tome 2496,,4584-7174,clubvillasahores@gmail.com,VILLA SAHORES,www.clubvillasahores.com.ar,"Basquet, Fútbol, Natación, Aquagym, Patín artístico, Vóley, Aikido, Taekwondo, Cross training, Kick Boxing, Muay Thai, Tai Chi, Boxeo, Gim. aeróbica, Gim. artística, Tela. Tango, Ajedrez. Ping Pong. Activ. Culturales (más info en Tabla Anexo)",canchas - biblioteca - natatorio - salones- gimnasio - quincho,Santo Tome ,2496,Villa Del Parque,Comuna 11,1417,C1417GFD
-58.4194253287922,-34.6109183541889,99,DEPROP,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Rivadavia 3777,Rivadavia 3777,,4981-9867 / 4982-3385,,ESCUELA DE PELOTA PALETA DEPROP,,"Pelota Paleta competitiva y recreativa (niños, jóvenes y mujeres), Taekwondo (ambos sexos, todas las edades), Gimnasio con aparatos y Gimnasia para damas.",cancha - gimnasio - salones,Rivadavia ,3777,Almagro,Comuna 5,1204,C1204AAC
-58.4782317815247,-34.6066732560765,100,RESURGIMIENTO,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Gral. Artigas 2262,Gral. Artigas 2262,,4585-4960,resurgimiento@fibertel.com.ar,CENTRO CULTURAL RESURGIMIENTO,,"Fútbol, gimnasia aeróbica, gimnasia deportiva, artística, circo, acrobacia, artes marciales (taekwondo), salsa, merengue, danza árabe, clásica, jazz, folklore, hip hop, tango, yoga, gimnasia expresiva.  Actividades culturales.",biblioteca - cancha - salon,Gral. Artigas ,2262,Villa Del Parque,Comuna 11,1416,C1416ALB
-58.4835082041521,-34.6292691016415,101,LA FLORESTA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Avellaneda 3885,Avellaneda 3885,,4671-7851 / 4626,clublafloresta@hotmail.com,,,"Gimnasia femenina, artes marciales, tango, natación, yoga, ajedrez Escuela de fútbol. Actividades culturales.",biblioteca - cancha - salones -  natatorio,Avellaneda ,3885,Floresta,Comuna 10,1407,C1407EJF
-58.4740037427796,-34.6832755302739,102,LUGANO FOOTBALL CLUB,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Lisandro de la Torre 4640,Lisandro de la Torre 4640,,4605-6153,,,,"Boxeo, Kick boxing, Taekwondo, Salsa, Danza clásica, Tap, Jazz, Gimnasia rítmica, Hip hop y Pilates sobre piso.Actividades culturales.",salones,Lisandro de la Torre ,4640,Villa Lugano,Comuna 8,1439,C1439GFH
-58.4816136176324,-34.6838426824127,103,YUPANQUI,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Guamini 4512,Guamini 4512,,4601-4477,,,,"Boxeo mixto, defensa personal, tenis de mesa, gimnasia, musculación, danzas árabes, artes marciales, natación, patín, básquet, danzas. Actividades culturales.",cancha - salon - natatorio,Guamini ,4512,Villa Lugano,Comuna 8,1439,C1439HAB
-58.4950142681205,-34.5625691878968,104,MANUEL BELGRANO,CLUB DE BARRIO,CLUB_DE_BARRIO,SEDE SOCIAL EN CABA Y ANEXO EN ESCOBAR,Crisologo Larralde 5255,Crisologo Larralde 5255,,4541-1551,clubmanuelbelgrano@gmail.com,Club Manuel Belgrano - Rugby & Hockey,www.clubmanuelbelgrano.com.ar,hockey - rugby,canchas - salones,Crisologo Larralde ,5255,Saavedra,Comuna 12,1431,C1431APK
-58.4482090226481,-34.6075527578871,105,ASOCIACION CIRCULO ITALO ARGENTINO LIBER PIEMONT,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Gral. Manuel Rodriguez 1191,Gral. Manuel Rodriguez 1191,,4581-5189,,,,"Yoga, artes marciales, tango, billar, gimnasia, danzas clásicas, clases de tango y folklore. Actividades culturales.",cancha - salones - biblioteca,Gral. Manuel Rodriguez ,1191,Caballito,Comuna 6,1416,C1416CMA
-58.4458777559323,-34.5972587910709,106,CAPOEIRA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Padilla 1008,Padilla 1008,,4857-2851,eventos@capoeira.com,,www.capoeira.com.ar,"Baby, basket, gimnasia deportiva, tango, hockey, tenis.",canchas - salones - natatorio,Padilla ,1008,Villa Crespo,Comuna 15,1414,C1414AGR
-58.4979847578597,-34.5919054830239,107,EL TALAR,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Nueva York 2944/60,Nueva York 2944,,4574-1918,"clubeltalar@gmail.com  -  clubeltalar@yahoo.com.ar 
",,,"Basquet masc y fem (recreativo y federado desde infantiles hasta veteranos), Fútbol masc (recreativo y federado desde infantiles hasta veteranos), Patín artístico femenino, Taekwondo (todas las edades), Fitness, Pilates y Gim. de musculación",canchas - salon,Nueva York ,2944,Agronomia,Comuna 15,1419,C1419HCR
-58.4837046896711,-34.6676921711268,108,PAMPERO,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Larrazabal 3035,Larrazabal 3035,,4604-4500,,CLUB PAMPERO,www.clubpampero.com.ar,"Baby, artes marciales, tango, folklore y patin artistico. Boxeo.",cancha - salon,Larrazabal ,3035,Villa Lugano,Comuna 8,1439,C1439ECE
-58.4900534035812,-34.5749927774266,109,CIRCULO URQUIZA,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,F. D. Roosevelt 5345,F. D. Roosevelt 5345,,4521-8873  4523-7506,,,www.cgunatacion.com.ar,"Pelota paleta, básquet masculino, voley femenino, taekwondo, gimnasia artística, patín, gimnasio aparatos, yoga, danzas orientales, gimnasia aeróbica, natación, gimnasia acrobática.",canchas - salones - natatorio,F. D. Roosevelt ,5345,Villa Urquiza,Comuna 12,1431,C1431BZK
